MOBYGAMES,PlatformMap_MOBYGAMES
3DO,Panasonic 3DO
Acorn 32-bit,PC
Alice 32/90,PC
Amiga,Commodore Amiga
Amiga CD32,Commodore Amiga
Amstrad CPC,PC
Amstrad PCW,PC
Android,Android
Apple II,Apple Mac OS
Apple IIgs,Apple Mac OS
Arcade,Arcade
Arcadia 2001,Arcadia 2001
Atari 2600,Atari 2600
Atari 5200,Atari 5200
Atari 7800,Atari 7800
Atari 8-bit,Atari 8-bit
Atari ST,Atari ST
Atom,Atom
BBC Micro,BBC Micro
BREW,BREW
Bally Astrocade,Bally Astrocade
BeOS,BeOS
BlackBerry,BlackBerry
Blu-ray Disc Player,Blu-ray Game
Browser,Online
CD-i,Sega Saturn
CDTV,CDTV
Camputers Lynx,Camputers Lynx
Casio Loopy,Casio Loopy
Casio PV-1000,Casio PV-1000
Channel F,Channel F
Coleco Adam,Coleco Adam
ColecoVision,ColecoVision
Colour Genie,Colour Genie
Commodore 128,Commodore 128
"Commodore 16, Plus/4",Commodore 16
Commodore 64,Commodore 64
Commodore PET/CBM,Commodore PET/CBM
Compucolor II,Compucolor II
DOS,PC
DVD Player,DVD Game
Dedicated console,Dedicated console
Dedicated handheld,Dedicated handheld
DoJa,DoJa
Dragon 32/64,Dragon 32/65
Dreamcast,Sega Dreamcast
Electron,Electron
Enterprise,Enterprise
Epoch Cassette Vision,PC
Epoch Game Pocket Computer,PC
Epoch Super Cassette Vision,PC
ExEn,ExEn
Exelvision,Exelvision
Exidy Sorcerer,Exidy Sorcerer
FM Towns,FM Towns
FM-7,FM-8
Fire OS,Mobile
GP2X,GP2X
GP2X Wiz,GP2X Wiz
GP32,GP32
Game Boy,Nintendo Game Boy
Game Boy Advance,Nintendo Game Boy Advance
Game Boy Color,Nintendo Game Boy
Game Gear,Sega Game Gear
Game Wave,Game Wave
Game.Com,Online
GameCube,Nintendo GameCube
GameStick,GameStick
Genesis,Sega Mega Drive
Gizmondo,Gizmondo
HD DVD Player,DVD Game
HyperScan,HyperScan
Intellivision,Mattel Intellivision
J2ME,J2ME
Jaguar,Atari Jaguar
Jupiter Ace,Jupiter Ace
